1708804377.6775918,Time: 1708804377378; Signal Strength: 45; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.96.88; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804536.386151,Time: 1708804736686; Signal Strength: 38; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 22; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804537.5364661,Time: 1708804737886; Signal Strength: 38; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 22; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804538.7752275,Time: 1708804739087; Signal Strength: 38; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804539.9866304,Time: 1708804740287; Signal Strength: 38; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804541.1881764,Time: 1708804741488; Signal Strength: 38; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 22; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804542.3889587,Time: 1708804742688; Signal Strength: 38; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 22; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804543.5896442,Time: 1708804743889; Signal Strength: 38; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 22; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804544.7895122,Time: 1708804745089; Signal Strength: 38; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 22; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804545.9901083,Time: 1708804746290; Signal Strength: 38; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 22; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804547.190661,Time: 1708804747490; Signal Strength: 38; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804548.39121,Time: 1708804748691; Signal Strength: 38; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 22; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804549.5919242,Time: 1708804749891; Signal Strength: 39; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804550.7922401,Time: 1708804751092; Signal Strength: 38; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804551.9919531,Time: 1708804752292; Signal Strength: 38; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 22; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804553.1924503,Time: 1708804753493; Signal Strength: 38; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 22; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804554.3936546,Time: 1708804754693; Signal Strength: 38; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804555.5933464,Time: 1708804755894; Signal Strength: 37; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804556.755725,Time: 1708804757094; Signal Strength: 37; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 22; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804557.9762642,Time: 1708804758295; Signal Strength: 38; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 22; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804559.1947806,Time: 1708804759495; Signal Strength: 38; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 21; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804560.3952549,Time: 1708804760695; Signal Strength: 39; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 22; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
1708804561.5956347,Time: 1708804761896; Signal Strength: 38; Current Band: 12; Supported Bands: (1,2,3,4,5,8,12,13,18,19,20,25,26,28,66); Area Code: 52F3; UE Mode: 2; Cell ID: 02229215; IP Addr: 10.165.115.234; Temperature: 22; LTE Mode: 1; NBIoT Mode: 0; IMEI: 351901936540628; Operator: 310260
